1101132490783|John Smith|2500.00|2300.00|2700.00|2100.00|2600.00
1101132490784|Jane Doe|1800.50|1900.00|1750.00|2000.00|1850.00
1101132490785|Bob Ray|3200.75|3100.00|3300.00|3250.00|3150.00
1101132490786|Alice Brown|900.00|950.00|870.00|920.00|910.00
1101132490787|Charlie Wilson|4500.00|4300.00|4700.00|4400.00|4600.00
1101132490788|Diana Prince|1100.25|1200.00|1050.00|1150.00|1100.00
1101132490789|Edward Norton|2750.00|2800.00|2700.00|2850.00|2750.00
1101132490790|Fiona Green|3300.50|3400.00|3250.00|3350.00|3300.00
1101132490791|George Harris|650.00|700.00|620.00|680.00|660.00
1101132490792|Helen Carter|2100.00|2200.00|2050.00|2150.00|2100.00
